Label_names,Label_indices,Relabel_class,Occurences
metal,232,89,"('metal', 442)"
20,686,90,"('20', 433)"
female,205,91,"('female', 432)"
car,124,92,"('car', 415)"
tile,185,93,"('tile', 414)"
brick,240,94,"('brick', 406)"
clear,248,95,"('clear', 394)"
night,677,96,"('night', 388)"
plane,372,97,"('plane', 382)"
wall,78,98,"('wall', 378)"
bird,228,99,"('bird', 375)"
many,204,100,"('many', 373)"
bananas,295,101,"('bananas', 371)"
sandwich,350,102,"('sandwich', 370)"
zebra,395,103,"('zebra', 369)"
bed,212,104,"('bed', 366)"
cloudy,833,105,"('cloudy', 361)"
bench,288,106,"('bench', 357)"
donut,783,107,"('donut', 357)"
down,267,108,"('down', 353)"
people,192,109,"('people', 351)"
summer,570,110,"('summer', 349)"
hot dog,106,111,"('hot dog', 345)"
bedroom,250,112,"('bedroom', 338)"
street,268,113,"('street', 335)"
kites,216,114,"('kites', 329)"
tree,35,115,"('tree', 325)"
fence,233,116,"('fence', 325)"
boat,139,117,"('boat', 323)"
birthday,144,118,"('birthday', 319)"
15,418,119,"('15', 316)"
cheese,140,120,"('cheese', 315)"
plate,107,121,"('plate', 311)"
bat,371,122,"('bat', 311)"
up,470,123,"('up', 310)"
beer,68,124,"('beer', 306)"
afternoon,138,125,"('afternoon', 306)"
fork,251,126,"('fork', 306)"
tv,425,127,"('tv', 306)"
sand,213,128,"('sand', 304)"
helmet,286,129,"('helmet', 304)"
chair,548,130,"('chair', 299)"
horses,848,131,"('horses', 298)"
truck,190,132,"('truck', 297)"
cows,176,133,"('cows', 296)"
couch,626,134,"('couch', 296)"
skis,19,135,"('skis', 293)"
floor,840,136,"('floor', 287)"
tennis racket,208,137,"('tennis racket', 286)"
round,223,138,"('round', 286)"
ground,309,139,"('ground', 285)"
11,191,140,"('11', 284)"
nike,71,141,"('nike', 282)"
coffee,670,142,"('coffee', 282)"
bike,328,143,"('bike', 280)"
red and white,75,144,"('red and white', 276)"
nowhere,188,145,"('nowhere', 276)"
airport,957,146,"('airport', 274)"
dirt,541,147,"('dirt', 273)"
zoo,575,148,"('zoo', 271)"
suitcase,584,149,"('suitcase', 271)"
cell phone,246,150,"('cell phone', 269)"
glass,709,151,"('glass', 268)"
usa,292,152,"('usa', 266)"
ocean,214,153,"('ocean', 265)"
square,62,154,"('square', 264)"
knife,48,155,"('knife', 262)"
fruit,432,156,"('fruit', 259)"
stripes,65,157,"('stripes', 254)"
snowboard,387,158,"('snowboard', 254)"
plastic,392,159,"('plastic', 254)"
boy,806,160,"('boy', 254)"
chicken,281,161,"('chicken', 249)"
airplane,421,162,"('airplane', 244)"
teddy bear,582,163,"('teddy bear', 242)"
old,384,164,"('old', 242)"
girl,451,165,"('girl', 242)"
concrete,618,166,"('concrete', 242)"
ball,760,167,"('ball', 242)"
english,245,168,"('english', 239)"
playing wii,1193,169,"('playing wii', 238)"
glasses,34,170,"('glasses', 237)"
blue and white,542,171,"('blue and white', 237)"
christmas,84,172,"('christmas', 235)"
tie,207,173,"('tie', 233)"
paper,141,174,"('paper', 232)"
city,377,175,"('city', 230)"
cold,215,176,"('cold', 229)"
30,261,177,"('30', 229)"
carrots,440,178,"('carrots', 227)"
sidewalk,596,179,"('sidewalk', 225)"
day,905,180,"('day', 225)"
13,164,181,"('13', 225)"
cooking,199,182,"('cooking', 224)"
blonde,937,183,"('blonde', 224)"
fall,672,184,"('fall', 222)"
scissors,338,185,"('scissors', 222)"
open,369,186,"('open', 222)"
building,153,187,"('building', 220)"
toilet,851,188,"('toilet', 219)"
50,181,189,"('50', 218)"
breakfast,1216,190,"('breakfast', 218)"
light,137,191,"('light', 217)"
person,986,192,"('person', 217)"
wii remote,1306,193,"('wii remote', 217)"
computer,29,194,"('computer', 216)"
not sure,1995,195,"('not sure', 215)"
park,272,196,"('park', 215)"
flying kite,651,197,"('flying kite', 215)"
lot,641,198,"('lot', 214)"
oak,930,199,"('oak', 213)"
can't tell,1643,200,"(""can't tell"", 212)"
happy,430,201,"('happy', 212)"
restaurant,210,202,"('restaurant', 211)"
chocolate,222,203,"('chocolate', 210)"
window,121,204,"('window', 210)"
chinese,732,205,"('chinese', 209)"
don't know,1341,206,"(""don't know"", 208)"
toothbrush,648,207,"('toothbrush', 206)"
clock,80,208,"('clock', 205)"
donuts,355,209,"('donuts', 205)"
dell,454,210,"('dell', 205)"
mirror,786,211,"('mirror', 202)"
africa,165,212,"('africa', 201)"
shirt,362,213,"('shirt', 201)"
solid,94,214,"('solid', 198)"
playing,1014,215,"('playing', 198)"
plaid,988,216,"('plaid', 197)"
14,383,217,"('14', 196)"
lettuce,333,218,"('lettuce', 195)"
vegetables,611,219,"('vegetables', 195)"
overcast,182,220,"('overcast', 194)"
apples,776,221,"('apples', 194)"
sun,143,222,"('sun', 193)"
neither,203,223,"('neither', 193)"
100,1161,224,"('100', 192)"
daytime,990,225,"('daytime', 192)"
rectangle,193,226,"('rectangle', 191)"
remote,614,227,"('remote', 190)"
office,24,228,"('office', 189)"
on table,178,229,"('on table', 188)"
spoon,408,230,"('spoon', 188)"
short,839,231,"('short', 188)"
field,445,232,"('field', 186)"
stone,794,233,"('stone', 185)"
sleeping,931,234,"('sleeping', 185)"
palm,477,235,"('palm', 184)"
small,484,236,"('small', 183)"
carpet,332,237,"('carpet', 182)"
wedding,479,238,"('wedding', 181)"
mountain,549,239,"('mountain', 180)"
middle,796,240,"('middle', 180)"
sky,357,241,"('sky', 180)"
road,777,242,"('road', 179)"
birds,447,243,"('birds', 179)"
25,513,244,"('25', 179)"
picture,552,245,"('picture', 179)"
oranges,304,246,"('oranges', 178)"
sign,463,247,"('sign', 178)"
elephants,290,248,"('elephants', 177)"
american,474,249,"('american', 177)"
safety,622,250,"('safety', 177)"
clouds,57,251,"('clouds', 176)"
background,514,252,"('background', 174)"
mountains,337,253,"('mountains', 174)"
nobody,1221,254,"('nobody', 173)"
desk,461,255,"('desk', 172)"
16,704,256,"('16', 172)"
ski poles,322,257,"('ski poles', 171)"
home,448,258,"('home', 170)"
fire hydrant,638,259,"('fire hydrant', 170)"
dinner,528,260,"('dinner', 169)"
sunglasses,456,261,"('sunglasses', 168)"
tomato,148,262,"('tomato', 167)"
shorts,237,263,"('shorts', 167)"
house,544,264,"('house', 166)"
fish,179,265,"('fish', 165)"
very,112,266,"('very', 164)"
bicycle,379,267,"('bicycle', 164)"
london,574,268,"('london', 164)"
police,785,269,"('police', 164)"
closed,1094,270,"('closed', 164)"
brown and white,378,271,"('brown and white', 163)"
morning,73,272,"('morning', 161)"
inside,146,273,"('inside', 161)"
counter,872,274,"('counter', 161)"
wetsuit,762,275,"('wetsuit', 159)"
color,1117,276,"('color', 159)"
england,359,277,"('england', 158)"
evening,283,278,"('evening', 157)"
milk,1165,279,"('milk', 156)"
pepperoni,640,280,"('pepperoni', 154)"
bowl,829,281,"('bowl', 154)"
salad,300,282,"('salad', 152)"
asian,1601,283,"('asian', 152)"
leaves,88,284,"('leaves', 151)"
not possible,739,285,"('not possible', 151)"
microwave,800,286,"('microwave', 150)"
both,462,287,"('both', 148)"
beige,340,288,"('beige', 147)"
noon,504,289,"('noon', 147)"
backpack,310,290,"('backpack', 146)"
jeans,725,291,"('jeans', 146)"
luggage,956,292,"('luggage', 146)"
pine,235,293,"('pine', 145)"
carrot,319,294,"('carrot', 145)"
glove,420,295,"('glove', 145)"
passenger,475,296,"('passenger', 143)"
sink,529,297,"('sink', 143)"
bread,673,298,"('bread', 143)"
front,1056,299,"('front', 143)"
baby,343,300,"('baby', 142)"
graffiti,967,301,"('graffiti', 142)"
books,1025,302,"('books', 142)"
circle,393,303,"('circle', 141)"
vase,491,304,"('vase', 141)"
rain,684,305,"('rain', 141)"
child,1314,306,"('child', 140)"
china,791,307,"('china', 139)"
drinking,838,308,"('drinking', 138)"
spinach,85,309,"('spinach', 137)"
catcher,67,310,"('catcher', 136)"
new york,1468,311,"('new york', 136)"
towel,93,312,"('towel', 136)"
wii controller,1727,313,"('wii controller', 136)"
bag,87,314,"('bag', 135)"
brushing teeth,8,315,"('brushing teeth', 134)"
floral,119,316,"('floral', 134)"
watch,345,317,"('watch', 134)"
hair,758,318,"('hair', 134)"
zebras,171,319,"('zebras', 132)"
giraffes,441,320,"('giraffes', 132)"
soup,1294,321,"('soup', 132)"
refrigerator,61,322,"('refrigerator', 131)"
hay,154,323,"('hay', 131)"
posing,623,324,"('posing', 131)"
gold,902,325,"('gold', 131)"
hand,563,326,"('hand', 130)"
flower,769,327,"('flower', 130)"
church,1264,328,"('church', 130)"
pole,132,329,"('pole', 129)"
talking on phone,660,330,"('talking on phone', 129)"
lights,707,331,"('lights', 129)"
clothes,500,332,"('clothes', 128)"
flying,492,333,"('flying', 128)"
windows,817,334,"('windows', 128)"
smiling,1437,335,"('smiling', 127)"
rainbow,1167,336,"('rainbow', 126)"
real,142,337,"('real', 125)"
spring,506,338,"('spring', 125)"
book,1489,339,"('book', 125)"
playing tennis,259,340,"('playing tennis', 124)"
forward,312,341,"('forward', 122)"
cars,293,342,"('cars', 121)"
striped,301,343,"('striped', 120)"
gas,735,344,"('gas', 120)"
box,605,345,"('box', 119)"
electric,402,346,"('electric', 118)"
motorcycles,664,347,"('motorcycles', 118)"
rocks,899,348,"('rocks', 118)"
keyboard,991,349,"('keyboard', 118)"
jacket,1487,350,"('jacket', 118)"
mouse,604,351,"('mouse', 116)"
adidas,940,352,"('adidas', 116)"
sneakers,689,353,"('sneakers', 115)"
blanket,1070,354,"('blanket', 114)"
photographer,1755,355,"('photographer', 114)"
bridge,367,356,"('bridge', 113)"
40,811,357,"('40', 113)"
talking,1004,358,"('talking', 113)"
shoes,331,359,"('shoes', 112)"
18,668,360,"('18', 112)"
shadow,279,361,"('shadow', 111)"
roses,336,362,"('roses', 111)"
racket,577,363,"('racket', 110)"
ketchup,784,364,"('ketchup', 110)"
i don't know,1408,365,"(""i don't know"", 110)"
wilson,96,366,"('wilson', 109)"
on,23,367,"('on', 109)"
peppers,110,368,"('peppers', 108)"
batter,978,369,"('batter', 108)"
sandals,1036,370,"('sandals', 108)"
resting,289,371,"('resting', 107)"
triangle,590,372,"('triangle', 107)"
lamp,678,373,"('lamp', 107)"
young,698,374,"('young', 106)"
coca cola,836,375,"('coca cola', 106)"
oven,1293,376,"('oven', 106)"
good,161,377,"('good', 105)"
store,533,378,"('store', 105)"
kite flying,828,379,"('kite flying', 105)"
large,25,380,"('large', 104)"
texting,131,381,"('texting', 104)"
in air,269,382,"('in air', 104)"
leather,1066,383,"('leather', 104)"
rope,1112,384,"('rope', 104)"
collar,256,385,"('collar', 103)"
rainy,439,386,"('rainy', 103)"
lab,444,387,"('lab', 102)"
paint,696,388,"('paint', 102)"
on wall,728,389,"('on wall', 102)"
checkered,813,390,"('checkered', 102)"
lunch,108,391,"('lunch', 101)"
long,954,392,"('long', 101)"
on ground,821,393,"('on ground', 101)"
top,850,394,"('top', 101)"
dessert,1355,395,"('dessert', 101)"
clean,1362,396,"('clean', 101)"
24,99,397,"('24', 100)"
parking,324,398,"('parking', 100)"
soda,637,399,"('soda', 100)"
decoration,750,400,"('decoration', 100)"
tabby,808,401,"('tabby', 100)"
grazing,101,402,"('grazing', 98)"
hot dogs,194,403,"('hot dogs', 98)"
meat,788,404,"('meat', 98)"
riding,317,405,"('riding', 97)"
ford,546,406,"('ford', 97)"
reading,547,407,"('reading', 97)"
umbrellas,802,408,"('umbrellas', 97)"
train station,928,409,"('train station', 97)"
straight,1092,410,"('straight', 97)"
head,1316,411,"('head', 97)"
sunset,2083,412,"('sunset', 97)"
pictures,226,413,"('pictures', 96)"
pitcher,1,414,"('pitcher', 95)"
unsure,1521,415,"('unsure', 95)"
umpire,1202,416,"('umpire', 95)"
stove,1295,417,"('stove', 95)"
seagull,321,418,"('seagull', 94)"
tomatoes,1330,419,"('tomatoes', 94)"
purse,18,420,"('purse', 93)"
electricity,526,421,"('electricity', 93)"
back,353,422,"('back', 93)"
rock,787,423,"('rock', 93)"
door,744,424,"('door', 92)"
river,277,425,"('river', 92)"
cup,1219,426,"('cup', 92)"
protection,1432,427,"('protection', 91)"
taking picture,347,428,"('taking picture', 91)"
heart,437,429,"('heart', 91)"
shade,558,430,"('shade', 91)"
on plate,1237,431,"('on plate', 91)"
lake,1450,432,"('lake', 91)"
shelf,1737,433,"('shelf', 91)"
jumping,646,434,"('jumping', 90)"
17,1159,435,"('17', 90)"
jet,1350,436,"('jet', 90)"
plant,1829,437,"('plant', 90)"
wire,46,438,"('wire', 89)"
double decker,358,439,"('double decker', 88)"
running,361,440,"('running', 88)"
tennis court,645,441,"('tennis court', 88)"
canada,932,442,"('canada', 88)"
work,1271,443,"('work', 88)"
surfboards,992,444,"('surfboards', 88)"
controller,1429,445,"('controller', 88)"
goggles,824,446,"('goggles', 87)"
white and blue,365,447,"('white and blue', 87)"
hot,2419,448,"('hot', 87)"
bottom,69,449,"('bottom', 86)"
tracks,221,450,"('tracks', 86)"
fishing,366,451,"('fishing', 86)"
warm,1245,452,"('warm', 86)"
air,1802,453,"('air', 86)"
bears,354,454,"('bears', 85)"
school,509,455,"('school', 85)"
off,524,456,"('off', 85)"
laying down,1926,457,"('laying down', 85)"
branch,480,458,"('branch', 84)"
rose,989,459,"('rose', 84)"
adult,1009,460,"('adult', 84)"
ceramic,1235,461,"('ceramic', 84)"
taking off,1273,462,"('taking off', 84)"
toilet paper,1836,463,"('toilet paper', 84)"
rug,129,464,"('rug', 83)"
boots,455,465,"('boots', 83)"
hotel,1240,466,"('hotel', 83)"
calm,1287,467,"('calm', 83)"
words,145,468,"('words', 82)"
basket,320,469,"('basket', 82)"
modern,452,470,"('modern', 82)"
landing,1930,471,"('landing', 82)"
wind,1297,472,"('wind', 82)"
red and yellow,187,473,"('red and yellow', 81)"
olives,883,474,"('olives', 81)"
playing frisbee,1119,475,"('playing frisbee', 81)"
lemon,1381,476,"('lemon', 81)"
new,1936,477,"('new', 81)"
cutting,342,478,"('cutting', 80)"
parking lot,175,479,"('parking lot', 80)"
gloves,459,480,"('gloves', 80)"
human,1238,481,"('human', 80)"
batting,979,482,"('batting', 80)"
watching,1559,483,"('watching', 80)"
white and black,1594,484,"('white and black', 80)"
downhill,567,485,"('downhill', 79)"
delta,657,486,"('delta', 79)"
rice,781,487,"('rice', 79)"
vanilla,52,488,"('vanilla', 78)"
bottle,306,489,"('bottle', 78)"
red and blue,394,490,"('red and blue', 78)"
cutting board,433,491,"('cutting board', 78)"
wild,503,492,"('wild', 78)"
flag,676,493,"('flag', 78)"
beef,243,494,"('beef', 77)"
oval,682,495,"('oval', 77)"
van,953,496,"('van', 77)"
parking meter,1033,497,"('parking meter', 77)"
tower,1403,498,"('tower', 77)"
scarf,1224,499,"('scarf', 77)"
away,1501,500,"('away', 76)"
guitar,1327,501,"('guitar', 76)"
plain,819,502,"('plain', 76)"
go,875,503,"('go', 76)"
steam,1451,504,"('steam', 76)"
in water,852,505,"('in water', 75)"
fire,1024,506,"('fire', 75)"
blue and yellow,170,507,"('blue and yellow', 74)"
skate park,1120,508,"('skate park', 74)"
on right,1960,509,"('on right', 74)"
indoors,2072,510,"('indoors', 74)"
fridge,609,511,"('fridge', 73)"
smoke,593,512,"('smoke', 73)"
blinds,789,513,"('blinds', 73)"
water skiing,351,514,"('water skiing', 73)"
outdoors,1360,515,"('outdoors', 73)"
tennis ball,1471,516,"('tennis ball', 73)"
boats,1614,517,"('boats', 73)"
terrier,1700,518,"('terrier', 73)"
mustard,55,519,"('mustard', 72)"
daisy,382,520,"('daisy', 72)"
ice cream,1473,521,"('ice cream', 72)"
bikes,1878,522,"('bikes', 72)"
pepsi,160,523,"('pepsi', 71)"
tea,282,524,"('tea', 71)"
playing baseball,316,525,"('playing baseball', 71)"
green and white,1148,526,"('green and white', 71)"
dining room,1399,527,"('dining room', 71)"
united,1510,528,"('united', 71)"
military,1609,529,"('military', 71)"
hands,1627,530,"('hands', 71)"
headband,1638,531,"('headband', 71)"
planes,516,532,"('planes', 70)"
suit,715,533,"('suit', 70)"
strawberries,580,534,"('strawberries', 70)"
fries,711,535,"('fries', 70)"
stop sign,761,536,"('stop sign', 70)"
swimming,878,537,"('swimming', 70)"
blender,1131,538,"('blender', 70)"
ski,1502,539,"('ski', 70)"
sauce,1849,540,"('sauce', 70)"
onions,111,541,"('onions', 69)"
cleaning,2314,542,"('cleaning', 69)"
23,1189,543,"('23', 69)"
ponytail,748,544,"('ponytail', 69)"
game,980,545,"('game', 69)"
ham,1262,546,"('ham', 69)"
19,1171,547,"('19', 69)"
22,1275,548,"('22', 69)"
pillow,1537,549,"('pillow', 69)"
north,70,550,"('north', 68)"
cargo,126,551,"('cargo', 68)"
urban,135,552,"('urban', 68)"
dress,534,553,"('dress', 68)"
35,663,554,"('35', 68)"
trash,1697,555,"('trash', 68)"
men,1431,556,"('men', 68)"
21,1303,557,"('21', 68)"
india,1637,558,"('india', 68)"
ramp,443,559,"('ramp', 68)"
necklace,89,560,"('necklace', 67)"
no parking,241,561,"('no parking', 67)"
ceiling,468,562,"('ceiling', 67)"
clay,644,563,"('clay', 67)"
business,749,564,"('business', 67)"
slow,815,565,"('slow', 67)"
fan,903,566,"('fan', 67)"
orange juice,1121,567,"('orange juice', 67)"
party,195,568,"('party', 66)"
dirty,486,569,"('dirty', 66)"
toy,1285,570,"('toy', 66)"
looking,2145,571,"('looking', 66)"
market,1337,572,"('market', 66)"
traffic,2047,573,"('traffic', 66)"
star,220,574,"('star', 65)"
cabinet,1575,575,"('cabinet', 65)"
samsung,1001,576,"('samsung', 65)"
above,1493,577,"('above', 65)"
on desk,1088,578,"('on desk', 65)"
hats,1260,579,"('hats', 65)"
poles,20,580,"('poles', 64)"
yellow and blue,271,581,"('yellow and blue', 64)"
big,583,582,"('big', 64)"
strawberry,608,583,"('strawberry', 64)"
america,1078,584,"('america', 64)"
polo,1784,585,"('polo', 64)"
trash can,1100,586,"('trash can', 64)"
hit ball,1106,587,"('hit ball', 64)"
cotton,714,588,"('cotton', 63)"
clock tower,996,589,"('clock tower', 63)"
dogs,1061,590,"('dogs', 63)"
east,1480,591,"('east', 63)"
waiting,2441,592,"('waiting', 63)"
sausage,1532,593,"('sausage', 62)"
red and black,643,594,"('red and black', 62)"
on left,1809,595,"('on left', 62)"
bracelet,688,596,"('bracelet', 62)"
wooden,700,597,"('wooden', 62)"
handle,628,598,"('handle', 62)"
grapes,923,599,"('grapes', 62)"
bacon,1263,600,"('bacon', 62)"
duck,1531,601,"('duck', 62)"
shower,92,602,"('shower', 61)"
dusk,284,603,"('dusk', 61)"
cloth,559,604,"('cloth', 61)"
sugar,741,605,"('sugar', 61)"
turkey,825,606,"('turkey', 61)"
skateboarder,835,607,"('skateboarder', 61)"
pan,837,608,"('pan', 61)"
downtown,1600,609,"('downtown', 61)"
balance,1592,610,"('balance', 61)"
carriage,2504,611,"('carriage', 61)"
asphalt,390,612,"('asphalt', 60)"
smile,830,613,"('smile', 60)"
working,1150,614,"('working', 60)"
moving,1227,615,"('moving', 60)"
white and red,1406,616,"('white and red', 60)"
fun,1311,617,"('fun', 60)"
sweater,270,618,"('sweater', 59)"
honda,488,619,"('honda', 59)"
south,810,620,"('south', 59)"
mercedes,868,621,"('mercedes', 59)"
collie,1875,622,"('collie', 59)"
dunkin donuts,1029,623,"('dunkin donuts', 59)"
boston,1208,624,"('boston', 59)"
marble,1844,625,"('marble', 59)"
behind,2421,626,"('behind', 59)"
harley,2147,627,"('harley', 59)"
soap,1633,628,"('soap', 58)"
reflection,569,629,"('reflection', 58)"
flying kites,909,630,"('flying kites', 58)"
helmets,949,631,"('helmets', 58)"
farm,1016,632,"('farm', 58)"
face,1369,633,"('face', 58)"
wine glass,1465,634,"('wine glass', 58)"
granite,1684,635,"('granite', 58)"
art,1819,636,"('art', 58)"
p,323,637,"('p', 57)"
catching,977,638,"('catching', 57)"
station,1053,639,"('station', 57)"
pasta,1154,640,"('pasta', 57)"
28,1549,641,"('28', 57)"
parked,532,642,"('parked', 56)"
waves,1097,643,"('waves', 56)"
california,2302,644,"('california', 56)"
painting,1701,645,"('painting', 56)"
cross,183,646,"('cross', 55)"
african,1655,647,"('african', 55)"
orange and white,406,648,"('orange and white', 55)"
3 feet,1096,649,"('3 feet', 55)"
full,610,650,"('full', 55)"
low,822,651,"('low', 55)"
public,929,652,"('public', 55)"
octagon,947,653,"('octagon', 55)"
sad,1252,654,"('sad', 55)"
pen,1491,655,"('pen', 55)"
pants,1535,656,"('pants', 54)"
maple,722,657,"('maple', 54)"
cowboy,880,658,"('cowboy', 54)"
napkin,897,659,"('napkin', 54)"
united states,950,660,"('united states', 54)"
ducks,1035,661,"('ducks', 54)"
2 feet,1044,662,"('2 feet', 54)"
desert,1884,663,"('desert', 54)"
high,2014,664,"('high', 53)"
surfer,576,665,"('surfer', 53)"
pepper,586,666,"('pepper', 53)"
candles,755,667,"('candles', 53)"
gray and white,1490,668,"('gray and white', 53)"
cement,1587,669,"('cement', 53)"
dry,1107,670,"('dry', 53)"
walk,1507,671,"('walk', 53)"
parsley,1818,672,"('parsley', 53)"
cart,2016,673,"('cart', 53)"
can't see,680,674,"(""can't see"", 52)"
juice,307,675,"('juice', 52)"
football,537,676,"('football', 52)"
chairs,1015,677,"('chairs', 52)"
coke,1108,678,"('coke', 52)"
sparrow,1345,679,"('sparrow', 52)"
b,1160,680,"('b', 52)"
cats,1667,681,"('cats', 52)"
dodgers,1519,682,"('dodgers', 52)"
parasailing,275,683,"('parasailing', 51)"
w,356,684,"('w', 51)"
raining,507,685,"('raining', 51)"
dark,908,686,"('dark', 51)"
italian,1118,687,"('italian', 51)"
headphones,1217,688,"('headphones', 51)"
tulips,1332,689,"('tulips', 51)"
bakery,1361,690,"('bakery', 51)"
hungry,1916,691,"('hungry', 51)"
plants,1740,692,"('plants', 51)"
on bed,1168,693,"('on bed', 51)"
chef,51,694,"('chef', 50)"
potatoes,647,695,"('potatoes', 50)"
ring,200,696,"('ring', 50)"
parrot,229,697,"('parrot', 50)"
red white and blue,230,698,"('red white and blue', 50)"
beard,341,699,"('beard', 50)"
regular,1547,700,"('regular', 50)"
transportation,374,701,"('transportation', 50)"
logo,400,702,"('logo', 50)"
bow,422,703,"('bow', 50)"
on building,426,704,"('on building', 50)"
france,487,705,"('france', 50)"
skateboards,904,706,"('skateboards', 50)"
bmw,912,707,"('bmw', 50)"
diamond,1130,708,"('diamond', 50)"
sony,1715,709,"('sony', 50)"
german,1282,710,"('german', 50)"
cutting cake,1479,711,"('cutting cake', 50)"
stuffed animal,1590,712,"('stuffed animal', 50)"
bricks,1814,713,"('bricks', 50)"
stairs,127,714,"('stairs', 49)"
signs,535,715,"('signs', 49)"
parade,553,716,"('parade', 49)"
serving,747,717,"('serving', 49)"
steel,918,718,"('steel', 49)"
ski lift,973,719,"('ski lift', 49)"
tall,1021,720,"('tall', 49)"
medium,1101,721,"('medium', 49)"
basketball,1249,722,"('basketball', 49)"
apartment,1402,723,"('apartment', 49)"
tray,1441,724,"('tray', 49)"
broken,652,725,"('broken', 49)"
hydrant,1823,726,"('hydrant', 49)"
not very,1639,727,"('not very', 49)"
egg,2070,728,"('egg', 49)"
butter,109,729,"('butter', 48)"
fork and knife,224,730,"('fork and knife', 48)"
bus stop,376,731,"('bus stop', 48)"
driving,494,732,"('driving', 48)"
twin,499,733,"('twin', 48)"
laying,625,734,"('laying', 48)"
roof,926,735,"('roof', 48)"
sandwiches,1400,736,"('sandwiches', 48)"
half,1417,737,"('half', 48)"
flip flops,1113,738,"('flip flops', 48)"
crane,2368,739,"('crane', 48)"
red and green,598,740,"('red and green', 47)"
stick,630,741,"('stick', 47)"
commercial,856,742,"('commercial', 47)"
forest,945,743,"('forest', 47)"
sunlight,1105,744,"('sunlight', 47)"
main,1207,745,"('main', 47)"
at camera,1267,746,"('at camera', 47)"
pot,1461,747,"('pot', 47)"
owl,1464,748,"('owl', 47)"
brush,2569,749,"('brush', 47)"
chicago,1843,750,"('chicago', 47)"
bar,1579,751,"('bar', 47)"
all,1827,752,"('all', 47)"
yellow and red,517,753,"('yellow and red', 47)"
dock,58,754,"('dock', 46)"
crosswalk,133,755,"('crosswalk', 46)"
skirt,260,756,"('skirt', 46)"
japan,861,757,"('japan', 46)"
typing,916,758,"('typing', 46)"
little,939,759,"('little', 46)"
10 feet,941,760,"('10 feet', 46)"
women,1019,761,"('women', 46)"
fire truck,1504,762,"('fire truck', 46)"
queen,1757,763,"('queen', 46)"
mcdonald's,1675,764,"(""mcdonald's"", 46)"
27,1398,765,"('27', 46)"
