Label_names,Label_indices,Occurences
helmet,286,"('helmet', 304)"
chair,548,"('chair', 299)"
horses,848,"('horses', 298)"
truck,190,"('truck', 297)"
cows,176,"('cows', 296)"
couch,626,"('couch', 296)"
skis,19,"('skis', 293)"
floor,840,"('floor', 287)"
tennis racket,208,"('tennis racket', 286)"
round,223,"('round', 286)"
ground,309,"('ground', 285)"
11,191,"('11', 284)"
nike,71,"('nike', 282)"
coffee,670,"('coffee', 282)"
bike,328,"('bike', 280)"
red and white,75,"('red and white', 276)"
nowhere,188,"('nowhere', 276)"
airport,957,"('airport', 274)"
dirt,541,"('dirt', 273)"
zoo,575,"('zoo', 271)"
suitcase,584,"('suitcase', 271)"
cell phone,246,"('cell phone', 269)"
glass,709,"('glass', 268)"
usa,292,"('usa', 266)"
ocean,214,"('ocean', 265)"
square,62,"('square', 264)"
knife,48,"('knife', 262)"
fruit,432,"('fruit', 259)"
stripes,65,"('stripes', 254)"
snowboard,387,"('snowboard', 254)"
plastic,392,"('plastic', 254)"
boy,806,"('boy', 254)"
chicken,281,"('chicken', 249)"
airplane,421,"('airplane', 244)"
teddy bear,582,"('teddy bear', 242)"
old,384,"('old', 242)"
girl,451,"('girl', 242)"
concrete,618,"('concrete', 242)"
ball,760,"('ball', 242)"
english,245,"('english', 239)"
playing wii,1193,"('playing wii', 238)"
glasses,34,"('glasses', 237)"
blue and white,542,"('blue and white', 237)"
christmas,84,"('christmas', 235)"
tie,207,"('tie', 233)"
paper,141,"('paper', 232)"
city,377,"('city', 230)"
cold,215,"('cold', 229)"
30,261,"('30', 229)"
carrots,440,"('carrots', 227)"
sidewalk,596,"('sidewalk', 225)"
day,905,"('day', 225)"
13,164,"('13', 225)"
cooking,199,"('cooking', 224)"
blonde,937,"('blonde', 224)"
fall,672,"('fall', 222)"
scissors,338,"('scissors', 222)"
open,369,"('open', 222)"
building,153,"('building', 220)"
toilet,851,"('toilet', 219)"
50,181,"('50', 218)"
breakfast,1216,"('breakfast', 218)"
light,137,"('light', 217)"
person,986,"('person', 217)"
wii remote,1306,"('wii remote', 217)"
computer,29,"('computer', 216)"
not sure,1995,"('not sure', 215)"
park,272,"('park', 215)"
flying kite,651,"('flying kite', 215)"
lot,641,"('lot', 214)"
oak,930,"('oak', 213)"
can't tell,1643,"(""can't tell"", 212)"
happy,430,"('happy', 212)"
restaurant,210,"('restaurant', 211)"
chocolate,222,"('chocolate', 210)"
window,121,"('window', 210)"
chinese,732,"('chinese', 209)"
don't know,1341,"(""don't know"", 208)"
toothbrush,648,"('toothbrush', 206)"
clock,80,"('clock', 205)"
donuts,355,"('donuts', 205)"
dell,454,"('dell', 205)"
mirror,786,"('mirror', 202)"
africa,165,"('africa', 201)"
shirt,362,"('shirt', 201)"
solid,94,"('solid', 198)"
playing,1014,"('playing', 198)"
plaid,988,"('plaid', 197)"
14,383,"('14', 196)"
lettuce,333,"('lettuce', 195)"
vegetables,611,"('vegetables', 195)"
overcast,182,"('overcast', 194)"
apples,776,"('apples', 194)"
sun,143,"('sun', 193)"
neither,203,"('neither', 193)"
100,1161,"('100', 192)"
daytime,990,"('daytime', 192)"
rectangle,193,"('rectangle', 191)"
remote,614,"('remote', 190)"
office,24,"('office', 189)"
on table,178,"('on table', 188)"
spoon,408,"('spoon', 188)"
short,839,"('short', 188)"
field,445,"('field', 186)"
stone,794,"('stone', 185)"
sleeping,931,"('sleeping', 185)"
palm,477,"('palm', 184)"
small,484,"('small', 183)"
carpet,332,"('carpet', 182)"
wedding,479,"('wedding', 181)"
mountain,549,"('mountain', 180)"
middle,796,"('middle', 180)"
sky,357,"('sky', 180)"
road,777,"('road', 179)"
birds,447,"('birds', 179)"
25,513,"('25', 179)"
picture,552,"('picture', 179)"
oranges,304,"('oranges', 178)"
sign,463,"('sign', 178)"
elephants,290,"('elephants', 177)"
american,474,"('american', 177)"
safety,622,"('safety', 177)"
clouds,57,"('clouds', 176)"
background,514,"('background', 174)"
mountains,337,"('mountains', 174)"
nobody,1221,"('nobody', 173)"
desk,461,"('desk', 172)"
16,704,"('16', 172)"
ski poles,322,"('ski poles', 171)"
home,448,"('home', 170)"
fire hydrant,638,"('fire hydrant', 170)"
dinner,528,"('dinner', 169)"
sunglasses,456,"('sunglasses', 168)"
tomato,148,"('tomato', 167)"
shorts,237,"('shorts', 167)"
house,544,"('house', 166)"
fish,179,"('fish', 165)"
very,112,"('very', 164)"
bicycle,379,"('bicycle', 164)"
london,574,"('london', 164)"
police,785,"('police', 164)"
closed,1094,"('closed', 164)"
brown and white,378,"('brown and white', 163)"
morning,73,"('morning', 161)"
inside,146,"('inside', 161)"
counter,872,"('counter', 161)"
wetsuit,762,"('wetsuit', 159)"
color,1117,"('color', 159)"
england,359,"('england', 158)"
evening,283,"('evening', 157)"
milk,1165,"('milk', 156)"
pepperoni,640,"('pepperoni', 154)"
bowl,829,"('bowl', 154)"
salad,300,"('salad', 152)"
asian,1601,"('asian', 152)"
leaves,88,"('leaves', 151)"
not possible,739,"('not possible', 151)"
microwave,800,"('microwave', 150)"
both,462,"('both', 148)"
beige,340,"('beige', 147)"
noon,504,"('noon', 147)"
backpack,310,"('backpack', 146)"
jeans,725,"('jeans', 146)"
luggage,956,"('luggage', 146)"
pine,235,"('pine', 145)"
carrot,319,"('carrot', 145)"
glove,420,"('glove', 145)"
passenger,475,"('passenger', 143)"
sink,529,"('sink', 143)"
bread,673,"('bread', 143)"
front,1056,"('front', 143)"
baby,343,"('baby', 142)"
graffiti,967,"('graffiti', 142)"
books,1025,"('books', 142)"
circle,393,"('circle', 141)"
vase,491,"('vase', 141)"
rain,684,"('rain', 141)"
child,1314,"('child', 140)"
china,791,"('china', 139)"
drinking,838,"('drinking', 138)"
spinach,85,"('spinach', 137)"
catcher,67,"('catcher', 136)"
new york,1468,"('new york', 136)"
towel,93,"('towel', 136)"
wii controller,1727,"('wii controller', 136)"
bag,87,"('bag', 135)"
brushing teeth,8,"('brushing teeth', 134)"
floral,119,"('floral', 134)"
watch,345,"('watch', 134)"
hair,758,"('hair', 134)"
zebras,171,"('zebras', 132)"
giraffes,441,"('giraffes', 132)"
soup,1294,"('soup', 132)"
refrigerator,61,"('refrigerator', 131)"
hay,154,"('hay', 131)"
posing,623,"('posing', 131)"
gold,902,"('gold', 131)"
hand,563,"('hand', 130)"
flower,769,"('flower', 130)"
church,1264,"('church', 130)"
pole,132,"('pole', 129)"
talking on phone,660,"('talking on phone', 129)"
lights,707,"('lights', 129)"
clothes,500,"('clothes', 128)"
flying,492,"('flying', 128)"
windows,817,"('windows', 128)"
smiling,1437,"('smiling', 127)"
rainbow,1167,"('rainbow', 126)"
real,142,"('real', 125)"
spring,506,"('spring', 125)"
book,1489,"('book', 125)"
playing tennis,259,"('playing tennis', 124)"
forward,312,"('forward', 122)"
cars,293,"('cars', 121)"
striped,301,"('striped', 120)"
gas,735,"('gas', 120)"
box,605,"('box', 119)"
electric,402,"('electric', 118)"
motorcycles,664,"('motorcycles', 118)"
rocks,899,"('rocks', 118)"
keyboard,991,"('keyboard', 118)"
jacket,1487,"('jacket', 118)"
mouse,604,"('mouse', 116)"
adidas,940,"('adidas', 116)"
sneakers,689,"('sneakers', 115)"
blanket,1070,"('blanket', 114)"
photographer,1755,"('photographer', 114)"
bridge,367,"('bridge', 113)"
40,811,"('40', 113)"
talking,1004,"('talking', 113)"
shoes,331,"('shoes', 112)"
18,668,"('18', 112)"
shadow,279,"('shadow', 111)"
roses,336,"('roses', 111)"
racket,577,"('racket', 110)"
ketchup,784,"('ketchup', 110)"
i don't know,1408,"(""i don't know"", 110)"
wilson,96,"('wilson', 109)"
on,23,"('on', 109)"
peppers,110,"('peppers', 108)"
batter,978,"('batter', 108)"
sandals,1036,"('sandals', 108)"
resting,289,"('resting', 107)"
triangle,590,"('triangle', 107)"
lamp,678,"('lamp', 107)"
young,698,"('young', 106)"
coca cola,836,"('coca cola', 106)"
oven,1293,"('oven', 106)"
good,161,"('good', 105)"
store,533,"('store', 105)"
kite flying,828,"('kite flying', 105)"
large,25,"('large', 104)"
texting,131,"('texting', 104)"
in air,269,"('in air', 104)"
leather,1066,"('leather', 104)"
rope,1112,"('rope', 104)"
collar,256,"('collar', 103)"
rainy,439,"('rainy', 103)"
lab,444,"('lab', 102)"
paint,696,"('paint', 102)"
on wall,728,"('on wall', 102)"
checkered,813,"('checkered', 102)"
lunch,108,"('lunch', 101)"
long,954,"('long', 101)"
on ground,821,"('on ground', 101)"
top,850,"('top', 101)"
dessert,1355,"('dessert', 101)"
clean,1362,"('clean', 101)"
24,99,"('24', 100)"
parking,324,"('parking', 100)"
soda,637,"('soda', 100)"
decoration,750,"('decoration', 100)"
tabby,808,"('tabby', 100)"
grazing,101,"('grazing', 98)"
hot dogs,194,"('hot dogs', 98)"
meat,788,"('meat', 98)"
riding,317,"('riding', 97)"
ford,546,"('ford', 97)"
reading,547,"('reading', 97)"
umbrellas,802,"('umbrellas', 97)"
train station,928,"('train station', 97)"
straight,1092,"('straight', 97)"
head,1316,"('head', 97)"
sunset,2083,"('sunset', 97)"
pictures,226,"('pictures', 96)"
pitcher,1,"('pitcher', 95)"
unsure,1521,"('unsure', 95)"
umpire,1202,"('umpire', 95)"
stove,1295,"('stove', 95)"
seagull,321,"('seagull', 94)"
tomatoes,1330,"('tomatoes', 94)"
purse,18,"('purse', 93)"
electricity,526,"('electricity', 93)"
back,353,"('back', 93)"
rock,787,"('rock', 93)"
door,744,"('door', 92)"
river,277,"('river', 92)"
cup,1219,"('cup', 92)"
protection,1432,"('protection', 91)"
taking picture,347,"('taking picture', 91)"
heart,437,"('heart', 91)"
shade,558,"('shade', 91)"
on plate,1237,"('on plate', 91)"
lake,1450,"('lake', 91)"
shelf,1737,"('shelf', 91)"
jumping,646,"('jumping', 90)"
17,1159,"('17', 90)"
jet,1350,"('jet', 90)"
plant,1829,"('plant', 90)"
wire,46,"('wire', 89)"
double decker,358,"('double decker', 88)"
running,361,"('running', 88)"
tennis court,645,"('tennis court', 88)"
canada,932,"('canada', 88)"
work,1271,"('work', 88)"
surfboards,992,"('surfboards', 88)"
controller,1429,"('controller', 88)"
goggles,824,"('goggles', 87)"
white and blue,365,"('white and blue', 87)"
hot,2419,"('hot', 87)"
bottom,69,"('bottom', 86)"
tracks,221,"('tracks', 86)"
fishing,366,"('fishing', 86)"
warm,1245,"('warm', 86)"
air,1802,"('air', 86)"
bears,354,"('bears', 85)"
school,509,"('school', 85)"
off,524,"('off', 85)"
laying down,1926,"('laying down', 85)"
branch,480,"('branch', 84)"
rose,989,"('rose', 84)"
adult,1009,"('adult', 84)"
ceramic,1235,"('ceramic', 84)"
taking off,1273,"('taking off', 84)"
toilet paper,1836,"('toilet paper', 84)"
rug,129,"('rug', 83)"
boots,455,"('boots', 83)"
hotel,1240,"('hotel', 83)"
calm,1287,"('calm', 83)"
words,145,"('words', 82)"
basket,320,"('basket', 82)"
modern,452,"('modern', 82)"
landing,1930,"('landing', 82)"
wind,1297,"('wind', 82)"
red and yellow,187,"('red and yellow', 81)"
olives,883,"('olives', 81)"
playing frisbee,1119,"('playing frisbee', 81)"
lemon,1381,"('lemon', 81)"
new,1936,"('new', 81)"
cutting,342,"('cutting', 80)"
parking lot,175,"('parking lot', 80)"
gloves,459,"('gloves', 80)"
human,1238,"('human', 80)"
batting,979,"('batting', 80)"
watching,1559,"('watching', 80)"
white and black,1594,"('white and black', 80)"
downhill,567,"('downhill', 79)"
delta,657,"('delta', 79)"
rice,781,"('rice', 79)"
vanilla,52,"('vanilla', 78)"
bottle,306,"('bottle', 78)"
red and blue,394,"('red and blue', 78)"
cutting board,433,"('cutting board', 78)"
wild,503,"('wild', 78)"
flag,676,"('flag', 78)"
beef,243,"('beef', 77)"
oval,682,"('oval', 77)"
van,953,"('van', 77)"
parking meter,1033,"('parking meter', 77)"
tower,1403,"('tower', 77)"
scarf,1224,"('scarf', 77)"
away,1501,"('away', 76)"
guitar,1327,"('guitar', 76)"
plain,819,"('plain', 76)"
go,875,"('go', 76)"
steam,1451,"('steam', 76)"
in water,852,"('in water', 75)"
fire,1024,"('fire', 75)"
blue and yellow,170,"('blue and yellow', 74)"
skate park,1120,"('skate park', 74)"
on right,1960,"('on right', 74)"
indoors,2072,"('indoors', 74)"
fridge,609,"('fridge', 73)"
smoke,593,"('smoke', 73)"
blinds,789,"('blinds', 73)"
water skiing,351,"('water skiing', 73)"
outdoors,1360,"('outdoors', 73)"
tennis ball,1471,"('tennis ball', 73)"
boats,1614,"('boats', 73)"
terrier,1700,"('terrier', 73)"
mustard,55,"('mustard', 72)"
daisy,382,"('daisy', 72)"
ice cream,1473,"('ice cream', 72)"
bikes,1878,"('bikes', 72)"
pepsi,160,"('pepsi', 71)"
tea,282,"('tea', 71)"
playing baseball,316,"('playing baseball', 71)"
green and white,1148,"('green and white', 71)"
dining room,1399,"('dining room', 71)"
united,1510,"('united', 71)"
military,1609,"('military', 71)"
hands,1627,"('hands', 71)"
headband,1638,"('headband', 71)"
planes,516,"('planes', 70)"
suit,715,"('suit', 70)"
strawberries,580,"('strawberries', 70)"
fries,711,"('fries', 70)"
stop sign,761,"('stop sign', 70)"
swimming,878,"('swimming', 70)"
blender,1131,"('blender', 70)"
ski,1502,"('ski', 70)"
sauce,1849,"('sauce', 70)"
onions,111,"('onions', 69)"
cleaning,2314,"('cleaning', 69)"
23,1189,"('23', 69)"
ponytail,748,"('ponytail', 69)"
game,980,"('game', 69)"
ham,1262,"('ham', 69)"
19,1171,"('19', 69)"
22,1275,"('22', 69)"
pillow,1537,"('pillow', 69)"
north,70,"('north', 68)"
cargo,126,"('cargo', 68)"
urban,135,"('urban', 68)"
dress,534,"('dress', 68)"
35,663,"('35', 68)"
trash,1697,"('trash', 68)"
men,1431,"('men', 68)"
21,1303,"('21', 68)"
india,1637,"('india', 68)"
ramp,443,"('ramp', 68)"
necklace,89,"('necklace', 67)"
no parking,241,"('no parking', 67)"
ceiling,468,"('ceiling', 67)"
clay,644,"('clay', 67)"
business,749,"('business', 67)"
slow,815,"('slow', 67)"
fan,903,"('fan', 67)"
orange juice,1121,"('orange juice', 67)"
party,195,"('party', 66)"
dirty,486,"('dirty', 66)"
toy,1285,"('toy', 66)"
looking,2145,"('looking', 66)"
market,1337,"('market', 66)"
traffic,2047,"('traffic', 66)"
star,220,"('star', 65)"
cabinet,1575,"('cabinet', 65)"
samsung,1001,"('samsung', 65)"
above,1493,"('above', 65)"
on desk,1088,"('on desk', 65)"
hats,1260,"('hats', 65)"
poles,20,"('poles', 64)"
yellow and blue,271,"('yellow and blue', 64)"
big,583,"('big', 64)"
strawberry,608,"('strawberry', 64)"
america,1078,"('america', 64)"
polo,1784,"('polo', 64)"
trash can,1100,"('trash can', 64)"
hit ball,1106,"('hit ball', 64)"
cotton,714,"('cotton', 63)"
clock tower,996,"('clock tower', 63)"
dogs,1061,"('dogs', 63)"
east,1480,"('east', 63)"
waiting,2441,"('waiting', 63)"
sausage,1532,"('sausage', 62)"
red and black,643,"('red and black', 62)"
on left,1809,"('on left', 62)"
bracelet,688,"('bracelet', 62)"
wooden,700,"('wooden', 62)"
handle,628,"('handle', 62)"
grapes,923,"('grapes', 62)"
bacon,1263,"('bacon', 62)"
duck,1531,"('duck', 62)"
shower,92,"('shower', 61)"
dusk,284,"('dusk', 61)"
cloth,559,"('cloth', 61)"
sugar,741,"('sugar', 61)"
turkey,825,"('turkey', 61)"
skateboarder,835,"('skateboarder', 61)"
pan,837,"('pan', 61)"
downtown,1600,"('downtown', 61)"
balance,1592,"('balance', 61)"
carriage,2504,"('carriage', 61)"
asphalt,390,"('asphalt', 60)"
smile,830,"('smile', 60)"
working,1150,"('working', 60)"
moving,1227,"('moving', 60)"
white and red,1406,"('white and red', 60)"
fun,1311,"('fun', 60)"
sweater,270,"('sweater', 59)"
honda,488,"('honda', 59)"
south,810,"('south', 59)"
mercedes,868,"('mercedes', 59)"
collie,1875,"('collie', 59)"
dunkin donuts,1029,"('dunkin donuts', 59)"
boston,1208,"('boston', 59)"
marble,1844,"('marble', 59)"
behind,2421,"('behind', 59)"
harley,2147,"('harley', 59)"
soap,1633,"('soap', 58)"
reflection,569,"('reflection', 58)"
flying kites,909,"('flying kites', 58)"
helmets,949,"('helmets', 58)"
farm,1016,"('farm', 58)"
face,1369,"('face', 58)"
wine glass,1465,"('wine glass', 58)"
granite,1684,"('granite', 58)"
art,1819,"('art', 58)"
p,323,"('p', 57)"
catching,977,"('catching', 57)"
station,1053,"('station', 57)"
pasta,1154,"('pasta', 57)"
28,1549,"('28', 57)"
parked,532,"('parked', 56)"
waves,1097,"('waves', 56)"
california,2302,"('california', 56)"
painting,1701,"('painting', 56)"
cross,183,"('cross', 55)"
african,1655,"('african', 55)"
orange and white,406,"('orange and white', 55)"
3 feet,1096,"('3 feet', 55)"
full,610,"('full', 55)"
low,822,"('low', 55)"
public,929,"('public', 55)"
octagon,947,"('octagon', 55)"
sad,1252,"('sad', 55)"
pen,1491,"('pen', 55)"
pants,1535,"('pants', 54)"
maple,722,"('maple', 54)"
cowboy,880,"('cowboy', 54)"
napkin,897,"('napkin', 54)"
united states,950,"('united states', 54)"
ducks,1035,"('ducks', 54)"
2 feet,1044,"('2 feet', 54)"
desert,1884,"('desert', 54)"
high,2014,"('high', 53)"
surfer,576,"('surfer', 53)"
pepper,586,"('pepper', 53)"
candles,755,"('candles', 53)"
gray and white,1490,"('gray and white', 53)"
cement,1587,"('cement', 53)"
dry,1107,"('dry', 53)"
walk,1507,"('walk', 53)"
parsley,1818,"('parsley', 53)"
cart,2016,"('cart', 53)"
can't see,680,"(""can't see"", 52)"
juice,307,"('juice', 52)"
football,537,"('football', 52)"
chairs,1015,"('chairs', 52)"
coke,1108,"('coke', 52)"
sparrow,1345,"('sparrow', 52)"
b,1160,"('b', 52)"
cats,1667,"('cats', 52)"
dodgers,1519,"('dodgers', 52)"
parasailing,275,"('parasailing', 51)"
w,356,"('w', 51)"
raining,507,"('raining', 51)"
dark,908,"('dark', 51)"
italian,1118,"('italian', 51)"
headphones,1217,"('headphones', 51)"
tulips,1332,"('tulips', 51)"
bakery,1361,"('bakery', 51)"
hungry,1916,"('hungry', 51)"
plants,1740,"('plants', 51)"
on bed,1168,"('on bed', 51)"
chef,51,"('chef', 50)"
potatoes,647,"('potatoes', 50)"
ring,200,"('ring', 50)"
parrot,229,"('parrot', 50)"
red white and blue,230,"('red white and blue', 50)"
beard,341,"('beard', 50)"
regular,1547,"('regular', 50)"
transportation,374,"('transportation', 50)"
logo,400,"('logo', 50)"
bow,422,"('bow', 50)"
on building,426,"('on building', 50)"
france,487,"('france', 50)"
skateboards,904,"('skateboards', 50)"
bmw,912,"('bmw', 50)"
diamond,1130,"('diamond', 50)"
sony,1715,"('sony', 50)"
german,1282,"('german', 50)"
cutting cake,1479,"('cutting cake', 50)"
stuffed animal,1590,"('stuffed animal', 50)"
bricks,1814,"('bricks', 50)"
stairs,127,"('stairs', 49)"
signs,535,"('signs', 49)"
parade,553,"('parade', 49)"
serving,747,"('serving', 49)"
steel,918,"('steel', 49)"
ski lift,973,"('ski lift', 49)"
tall,1021,"('tall', 49)"
medium,1101,"('medium', 49)"
basketball,1249,"('basketball', 49)"
apartment,1402,"('apartment', 49)"
tray,1441,"('tray', 49)"
broken,652,"('broken', 49)"
hydrant,1823,"('hydrant', 49)"
not very,1639,"('not very', 49)"
egg,2070,"('egg', 49)"
butter,109,"('butter', 48)"
fork and knife,224,"('fork and knife', 48)"
bus stop,376,"('bus stop', 48)"
driving,494,"('driving', 48)"
twin,499,"('twin', 48)"
laying,625,"('laying', 48)"
roof,926,"('roof', 48)"
sandwiches,1400,"('sandwiches', 48)"
half,1417,"('half', 48)"
flip flops,1113,"('flip flops', 48)"
crane,2368,"('crane', 48)"
red and green,598,"('red and green', 47)"
stick,630,"('stick', 47)"
commercial,856,"('commercial', 47)"
forest,945,"('forest', 47)"
sunlight,1105,"('sunlight', 47)"
main,1207,"('main', 47)"
at camera,1267,"('at camera', 47)"
pot,1461,"('pot', 47)"
owl,1464,"('owl', 47)"
brush,2569,"('brush', 47)"
chicago,1843,"('chicago', 47)"
bar,1579,"('bar', 47)"
all,1827,"('all', 47)"
yellow and red,517,"('yellow and red', 47)"
dock,58,"('dock', 46)"
crosswalk,133,"('crosswalk', 46)"
skirt,260,"('skirt', 46)"
japan,861,"('japan', 46)"
typing,916,"('typing', 46)"
little,939,"('little', 46)"
10 feet,941,"('10 feet', 46)"
women,1019,"('women', 46)"
fire truck,1504,"('fire truck', 46)"
queen,1757,"('queen', 46)"
mcdonald's,1675,"(""mcdonald's"", 46)"
27,1398,"('27', 46)"
pigeon,1825,"('pigeon', 46)"
it's not,1850,"(""it's not"", 46)"
west,2236,"('west', 46)"
tag,104,"('tag', 45)"
toyota,409,"('toyota', 45)"
fake,1812,"('fake', 45)"
subway,1820,"('subway', 45)"
stainless steel,539,"('stainless steel', 45)"
indian,871,"('indian', 45)"
jump,1506,"('jump', 45)"
straw,1382,"('straw', 45)"
seagulls,1448,"('seagulls', 45)"
polar bear,1272,"('polar bear', 45)"
c,1799,"('c', 45)"
fedora,1965,"('fedora', 45)"
fedex,2152,"('fedex', 45)"
55,278,"('55', 44)"
200,723,"('200', 44)"
eggs,348,"('eggs', 44)"
38,1932,"('38', 44)"
polar,874,"('polar', 44)"
empty,1011,"('empty', 44)"
friends,1582,"('friends', 44)"
suv,1065,"('suv', 44)"
big ben,1093,"('big ben', 44)"
out,1405,"('out', 44)"
mushrooms,1236,"('mushrooms', 44)"
germany,1283,"('germany', 44)"
natural,1528,"('natural', 44)"
kia,2002,"('kia', 44)"
bowling,2026,"('bowling', 44)"
curtain,2117,"('curtain', 44)"
cumulus,217,"('cumulus', 43)"
starbucks,2291,"('starbucks', 43)"
racing,389,"('racing', 43)"
s,1413,"('s', 43)"
fast,1278,"('fast', 43)"
2010,1374,"('2010', 43)"
serve,1641,"('serve', 43)"
cannot tell,1923,"('cannot tell', 43)"
asia,1795,"('asia', 43)"
green and yellow,315,"('green and yellow', 42)"
curtains,385,"('curtains', 42)"
friend,415,"('friend', 42)"
eat,442,"('eat', 42)"
warning,2219,"('warning', 42)"
caution,505,"('caution', 42)"
candy,601,"('candy', 42)"
pineapple,1266,"('pineapple', 42)"
steak,632,"('steak', 42)"
chain link,633,"('chain link', 42)"
nighttime,886,"('nighttime', 42)"
pug,891,"('pug', 42)"
tired,936,"('tired', 42)"
first,1517,"('first', 42)"
swan,1182,"('swan', 42)"
towels,1380,"('towels', 42)"
corner,1500,"('corner', 42)"
soccer ball,1143,"('soccer ball', 42)"
chips,2498,"('chips', 42)"
roman,1856,"('roman', 42)"
family,1767,"('family', 42)"
bun,56,"('bun', 41)"
basil,2128,"('basil', 41)"
fabric,624,"('fabric', 41)"
washington,972,"('washington', 41)"
air canada,934,"('air canada', 41)"
monkey,1022,"('monkey', 41)"
mutt,1048,"('mutt', 41)"
45,607,"('45', 41)"
scooter,1075,"('scooter', 41)"
runway,1144,"('runway', 41)"
skier,1157,"('skier', 41)"
t shirt,501,"('t shirt', 41)"
wool,1572,"('wool', 41)"
pickle,1610,"('pickle', 41)"
magnets,1789,"('magnets', 41)"
statue,1868,"('statue', 41)"
paddle,1978,"('paddle', 41)"
navy,2151,"('navy', 41)"
frosting,2266,"('frosting', 41)"
buildings,2178,"('buildings', 41)"
red sox,370,"('red sox', 40)"
rack,2657,"('rack', 40)"
letters,1891,"('letters', 40)"
italy,527,"('italy', 40)"
sprinkles,685,"('sprinkles', 40)"
sailboat,775,"('sailboat', 40)"
private,853,"('private', 40)"
beans,1030,"('beans', 40)"
german shepherd,1040,"('german shepherd', 40)"
television,1133,"('television', 40)"
